GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.mackenziehigh:autumn,com.mackenziehigh.autumn.lang.compiler.typesystem,CustomDeclaredType,5,159,3,5,1,46,4,31,1,30
com.mackenziehigh:autumn,com.mackenziehigh.autumn.lang.compiler.typesystem,ReflectiveConstructor,0,133,0,6,0,26,0,12,0,9
com.mackenziehigh:autumn,com.mackenziehigh.autumn.lang.compiler.typesystem,PrimitiveType,0,129,0,0,0,31,0,16,0,16
com.mackenziehigh:autumn,com.mackenziehigh.autumn.lang.compiler.typesystem,ReflectiveMethod,3,148,0,6,1,29,1,13,1,10
com.mackenziehigh:autumn,com.mackenziehigh.autumn.lang.compiler.typesystem,ArrayType,9,101,1,13,4,23,5,17,4,11
com.mackenziehigh:autumn,com.mackenziehigh.autumn.lang.compiler.typesystem,CustomDeclaredType.SpecificType,0,27,0,0,0,5,0,1,0,1
com.mackenziehigh:autumn,com.mackenziehigh.autumn.lang.compiler.typesystem,CustomFormalParameter,4,21,0,0,1,8,1,4,1,4
com.mackenziehigh:autumn,com.mackenziehigh.autumn.lang.compiler.typesystem,NullType,12,24,1,3,6,7,7,7,6,6
com.mackenziehigh:autumn,com.mackenziehigh.autumn.lang.compiler.typesystem,TypeFactory,18,519,7,25,1,110,8,31,1,22
com.mackenziehigh:autumn,com.mackenziehigh.autumn.lang.compiler.typesystem,CustomMethod,5,7,0,0,2,3,2,1,2,1
com.mackenziehigh:autumn,com.mackenziehigh.autumn.lang.compiler.typesystem,AbstractInvokableMember,11,63,0,2,1,12,1,5,1,4
com.mackenziehigh:autumn,com.mackenziehigh.autumn.lang.compiler.typesystem,ReflectiveDeclaredType,4,262,8,24,0,40,8,23,0,15
com.mackenziehigh:autumn,com.mackenziehigh.autumn.lang.compiler.typesystem,ReflectiveFormalParameter,14,33,1,1,3,9,1,3,0,3
com.mackenziehigh:autumn,com.mackenziehigh.autumn.lang.compiler.typesystem,AbstractType,3,21,0,0,1,8,1,3,1,3
com.mackenziehigh:autumn,com.mackenziehigh.autumn.lang.compiler.typesystem,AbstractCustomMember,0,45,0,0,0,18,0,9,0,9
com.mackenziehigh:autumn,com.mackenziehigh.autumn.lang.compiler.typesystem,CustomAnnotation,0,55,0,2,0,16,0,6,0,5
com.mackenziehigh:autumn,com.mackenziehigh.autumn.lang.compiler.typesystem,AbstractCustomInvokableMember,0,105,0,2,0,24,0,12,0,11
com.mackenziehigh:autumn,com.mackenziehigh.autumn.lang.compiler.typesystem,CustomConstructor,2,7,0,0,1,3,1,1,1,1
com.mackenziehigh:autumn,com.mackenziehigh.autumn.lang.compiler.typesystem,AbstractDeclaredType,28,233,5,23,7,62,5,25,2,14
com.mackenziehigh:autumn,com.mackenziehigh.autumn.lang.compiler.typesystem,ReflectiveField,36,73,4,2,8,15,3,9,1,8
com.mackenziehigh:autumn,com.mackenziehigh.autumn.lang.compiler.typesystem,CustomField,3,32,1,1,1,11,2,6,1,6
com.mackenziehigh:autumn,com.mackenziehigh.autumn.lang.compiler.typesystem,VoidType,2,17,0,0,1,7,1,6,1,6
com.mackenziehigh:autumn,com.mackenziehigh.autumn.lang.compiler.typesystem,AbstractMember,0,12,0,0,0,5,0,2,0,2
com.mackenziehigh:autumn,autumn.lang.compiler.ast.commons,ConstructList,0,94,0,4,0,25,0,12,0,10
com.mackenziehigh:autumn,com.mackenziehigh.autumn.resources,StaticChecks,3,0,0,0,1,0,1,0,1,0
com.mackenziehigh:autumn,com.mackenziehigh.autumn.resources,InstanceFieldTester,0,6,0,0,0,2,0,1,0,1
com.mackenziehigh:autumn,com.mackenziehigh.autumn.resources,StaticFieldTester,3,0,0,0,1,0,1,0,1,0
com.mackenziehigh:autumn,com.mackenziehigh.autumn.resources,Execution,3,0,0,0,1,0,1,0,1,0
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,ExpressionStatement,14,74,0,0,4,23,1,9,1,9
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,NullDatum,10,51,0,0,3,16,1,7,1,7
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,XorOperation,18,97,0,0,5,30,1,11,1,11
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,BigIntegerDatum,14,74,0,0,4,23,1,9,1,9
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,AndOperation,18,97,0,0,5,30,1,11,1,11
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,IsOperation,18,97,0,0,5,30,1,11,1,11
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,SourceLocation,26,123,0,0,8,38,2,12,2,12
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,DoUntilStatement,18,102,0,0,5,31,1,11,1,11
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,MultiplyOperation,18,97,0,0,5,30,1,11,1,11
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,GreaterThanOperation,18,97,0,0,5,30,1,11,1,11
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,ConcatOperation,18,97,0,0,5,30,1,11,1,11
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,SetFieldExpression,22,120,0,0,6,37,1,13,1,13
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,UntilStatement,18,102,0,0,5,31,1,11,1,11
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,TupleDefinition,30,181,0,0,8,54,1,17,1,17
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,DelegateStatement,26,149,0,0,7,46,1,15,1,15
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,WhileStatement,18,102,0,0,5,31,1,11,1,11
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,VariableDatum,14,74,0,0,4,23,1,9,1,9
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,ListExpression,14,79,0,0,4,24,1,9,1,9
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,ElementList,14,79,0,0,4,24,1,9,1,9
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,ConditionalCase,18,97,0,0,5,30,1,11,1,11
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,FormalParameter,18,97,0,0,5,30,1,11,1,11
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,OnceExpression,14,74,0,0,4,23,1,9,1,9
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,ExceptionDefinition,26,153,0,0,7,46,1,15,1,15
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,RecurStatement,14,79,0,0,4,24,1,9,1,9
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,SequenceStatement,14,79,0,0,4,24,1,9,1,9
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,NewExpression,18,102,0,0,5,31,1,11,1,11
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,AssertStatement,18,100,0,0,5,31,1,11,1,11
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,GreaterThanOrEqualsOperation,18,97,0,0,5,30,1,11,1,11
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,LocalsExpression,10,51,0,0,3,16,1,7,1,7
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,BooleanDatum,14,75,0,0,4,23,1,9,1,9
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,LessThanOrEqualsOperation,18,97,0,0,5,30,1,11,1,11
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,ListComprehensionExpression,30,166,0,0,8,51,1,17,1,17
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,ReturnVoidStatement,10,51,0,0,3,16,1,7,1,7
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,DispatchExpression,18,97,0,0,5,30,1,11,1,11
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,PrognExpression,14,79,0,0,4,24,1,9,1,9
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,ImpliesOperation,18,97,0,0,5,30,1,11,1,11
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,AsOperation,18,97,0,0,5,30,1,11,1,11
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,WhenStatement,18,97,0,0,5,30,1,11,1,11
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,FloatDatum,14,74,0,0,4,23,1,9,1,9
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,GetFieldExpression,18,97,0,0,5,30,1,11,1,11
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,ShortDatum,14,74,0,0,4,23,1,9,1,9
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,GotoStatement,14,74,0,0,4,23,1,9,1,9
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,Label,14,74,0,0,4,23,1,9,1,9
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,StringDatum,18,101,0,0,5,31,1,11,1,11
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,Module,50,331,0,0,13,96,1,27,1,27
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,Namespace,14,74,0,0,4,23,1,9,1,9
com.mackenziehigh:autumn,autumn.lang.compiler.ast.nodes,ForStatement,30,171,0,0,8,52,1,17,1,17
